Feature,Importance
TotalCharges_20.9,0.0003520930405275214
Customers_1383-EZRWL,0.0003509248822248965
Customers_4877-EVATK,0.00035071176248089637
Customers_1934-SJVJK,0.00035036973184099195
TotalCharges_113.85,0.00034977855540412674
TotalCharges_137.6,0.0003456250670359557
TotalCharges_50.15,0.000345439745263679
Customers_4083-EUGRJ,0.00033809559571831485
Customers_3900-AQPHZ,0.0003378807374486183
TotalCharges_740.3,0.00033757165611566825
Customers_4140-WJAWW,0.00033724770803225744
TotalCharges_289.3,0.0003372011133699102
TotalCharges_178.5,0.0003360566437878097
Customers_8515-OCTJS,0.00033603663781897315
Customers_1043-YCUTE,0.00033548798809585355
Customers_6532-YLWSI,0.0003348905278281026
TotalCharges_31.55,0.0003331090880963857
Customers_1038-ZAGBI,0.0003330710994939382
TotalCharges_7752.3,0.0003301338806660649
Customers_0607-DAAHE,0.0003290714710581919
TotalCharges_658.95,0.0003277858009973604
Customers_1009-IRMNA,0.00032706462216226085
Customers_6323-AYBRX,0.000326642052909897
TotalCharges_126.05,0.00032564647353186836
TotalCharges_1182.55,0.0003254506826766958
TotalCharges_692.1,0.00032544842619602275
Customers_7434-SHXLS,0.0003239142187085452
TotalCharges_45.05,0.00032276160120012736
Customers_1555-DJEQW,0.0003205514940084542
TotalCharges_327.45,0.00031844715870095594
Customers_0278-YXOOG,0.0003180434981039454
Customers_2667-WYLWJ,0.00031623773787747584
Customers_5624-BQSSA,0.000316081688205771
TotalCharges_164.85,0.00031596797343830154
Customers_6141-OOXUQ,0.0003159022768946021
Customers_1449-XQEMT,0.00031541454382011164
Customers_6849-WLEYG,0.0003151156725017368
TotalCharges_145,0.0003149439566420593
Customers_8182-PNAGI,0.00031469440316760013
TotalCharges_4759.75,0.00031427027708695083
Customers_4488-PSYCG,0.0003117624172299808
TotalCharges_1052.35,0.0003113374988272764
Customers_7845-URHJN,0.0003104984274028619
Customers_8305-VHZBZ,0.0003095312190003119
TotalCharges_655.85,0.00030880977893298306
TotalCharges_76.35,0.00030764028253967707
Customers_6990-YNRIO,0.0003067134592792904
Customers_2332-EFBJY,0.0003066822874725093
TotalCharges_1021.8,0.000306319198806291
Customers_1029-QFBEN,0.0003058446291949592
Customers_1452-VOQCH,0.00030513689010609496
TotalCharges_108.05,0.00030112792018842436
Customers_5577-OTWWW,0.0002998397354085508
TotalCharges_58.85,0.00029941884107701454
TotalCharges_70.3,0.00029917052766682036
Customers_2002-MZHWP,0.0002978906328727648
Customers_3506-LCJDC,0.00029781815161507806
TotalCharges_221.35,0.0002961589422034898
TotalCharges_7318.2,0.000296109147567918
TotalCharges_91.1,0.0002961059331934084
Customers_5616-PRTNT,0.0002944201399479179
TotalCharges_4653.85,0.00029425903094893656
TotalCharges_80.55,0.00029302775648608494
Customers_4745-LSPLO,0.00029013852871193
Customers_4195-SMMNX,0.00029013799705549935
TotalCharges_69.65,0.0002889185801021937
Customers_7839-QRKXN,0.00028882260605247686
TotalCharges_390.85,0.00028835025727733647
TotalCharges_44,0.0002882498394796595
Customers_6861-OKBCE,0.00028800409315777594
Customers_9249-FXSCK,0.00028788400808212744
Customers_6121-VZNQB,0.0002875911274248569
Customers_5049-GLYVG,0.00028702705045126396
Customers_5687-DKDTV,0.0002856665321496257
Customers_0107-WESLM,0.00028451581057567255
TotalCharges_45.1,0.00028350390424622163
Customers_7989-CHGTL,0.0002824038923887819
Customers_0617-AQNWT,0.0002814599164553862
Customers_2484-DGXPZ,0.00027941922523843434
Customers_0883-EIBTI,0.0002791079890460814
TotalCharges_33.2,0.0002789997405503631
Customers_2876-VBBBL,0.00027875034738176476
Customers_5356-RHIPP,0.000278530304856274
Customers_7439-DKZTW,0.00027829211360053384
Customers_8624-GIOUT,0.00027799137275971405
Customers_4853-RULSV,0.00027645867246574063
Customers_1725-IQNIY,0.0002761572203377551
Customers_7083-YNSKY,0.0002755224456260144
TotalCharges_5293.4,0.00027418290522697843
TotalCharges_5921.35,0.00027331807210864695
Customers_6289-CPNLD,0.0002708344724227547
Customers_4903-UYAVB,0.00027040776287954964
Customers_4895-TMWIR,0.00027012176456649894
TotalCharges_70.6,0.00026876855827653553
Customers_4390-KYULV,0.00026821798165497965
Customers_7853-GVUDZ,0.0002681276341705567
TotalCharges_69.95,0.000267730658204351
TotalCharges_4547.25,0.0002677139128291405
Customers_0031-PVLZI,0.0002673995500753181
